Title,Summary,Source,Source,Topic,Business line
Multi-domain simulation facility opened by Lockheed Martin,"According to the company, warfighters can bring in any tool, from any company to simulate, test, and train in a realistic, synthetic space environment without disrupting real missions. Pulsar Guardian follows the Air Force Universal Command and Control Interface standard (UCI) and is fully compliant.",Military Embedded Systems,Military Embedded Systems,New facility,Military
Sierra Nevada Relaunches Dornier 328,"Sierra Nevada Corp. (SNC) subsidiary 328 Support Services is relaunching the Dornier 328 twin turboprop, targeting the regional, cargo and special missions markets.",Aviation Week,Aviation Week,New aircraft,Comercial
Consolidation In The Fuel Supply Business,A major consolidation in the fuel-supply business is occurring with World Fuel Services agreeing to buy Universal Weather and Aviation’s UVair Fueling Div. for $170 million. ,Aviation Week,Aviation Week,M&A,Generic
Western Authorized To Work On FJ44-equipped Citations,"FBO and MRO Western Aircraft has been authorized to service Williams International FJ44 engines found on seven Cessna Citation models, the company announced yesterday. Specifically, the authorization allows Western to maintain FJ44s on the CitationJet, CJ1/1+, CJ2/2+/M2, CJ3/3+, and CJ4.",Aviation International News,Aviation International News,Expansion,Executive
Assembly of Japan's KC-46A begins,"Boeing has begun assembly of the KC-46 tanker for Japan at its 767 production facility in Everett, the company announced on 17 September",Shephard Media,Shephard Media,Deal,Military
"Qatar Airways has today reported a net loss for the past year of about 639 million USD. Last year the airline lost about 69 million USD, and they labeled that as the most challenging year in their history. This year’s results represent a nearly tenfold increase in the company’s losses.",The title of the press release announcing the results simply says that the.which increases their fuel bill and reduces their aircraft utilization; The airline has hadÂ,One Mile at a Time,One Mile at a Time,Financial,Comercial
Safran and Boeing Jointly Invest In Battery Specialist EPS,Boeing and Safran this week announced a joint investment in energy storage specialist Electric Power Systems (EPS). The undisclosed investment during a Series A funding round will help Utah-based EPS to develop a highly automated industrial base capable of producing aviation-grade batteries at far higher rates than is possible today.,Aviation International News,Aviation International News,Deal,Generic
Rapidly growing aviation services firm snapped up,A Welsh business that provides aftermarket support to the aviation industry has.in extending the life of aircraft parts to provide cost-effective services to airlines,Insider Media,Insider Media,New service,Comercial
"Aviation Concepts LLC Announces Web Site for UAV Training, Drone Port, and Aviation Academy","Aviation Concepts LLC, a global provider of aviation services in the manned and unmanned aircraft industry, announces the addition of its latest business, Tech Center Guam, a UAV Training School, Drone Port and Aviation Academy.",StreetInsider.com,StreetInsider.com,New service,Other
Morson aircraft engineering marks first year with new customers,"Morson Aircraft Engineering Services (MAES), the aircraft maintenance provider from the Morson Group, is celebrating its first year of operation during which it has opened seven line stations, been awarded nine airline maintenance contracts and received approvals for maintenance on eight aircraft types.",HMG Aerospace,HMG Aerospace,PlayerProfile,Generic
Airliner OEMs Struggle with Increasing Complexity,"The trend has been to electrify more functions on airplanes, but increasing electrification also means increased complexity. The two qualities can be balanced, however - we are seeing increased reliability.",EE Times,EE Times,Product,Generic
airBaltic is first airline to obtain a comprehensive MRO approval for the Airbus A220-300,"On its way to a single-type Airbus A220 operations, Latvian hybrid airline airBaltic has successfully passed its audit for Base Maintenance Capability approval in a test carried out by the civil aviation authority (CAA) of Latvia for the Airbus A220-300 aircraft type (formerly the Bombardier CS300).",www.rusaviainsider.com,www.rusaviainsider.com,Regulation,Comercial
UAE pledges to sustain aviation sector,"The UAE's aviation sector continues to soar and the government pledges to keep it that way, a top official of the industry's regulator said.",Khaleej Times,Khaleej Times,Regulation,Generic
China trade tiff could entangle Boeing's SC Dreamliner plant,America’s ongoing trade war with China could lead to production cutbacks at Boeing Co.’s 787 campus in North Charleston.,Charleston Post Courier,Charleston Post Courier,Geopolitc enviroment,Comercial
Tempest vs. FCAS: Euro fighter war heats up,"There’s a tale of two fighters underway in Europe. And countries — and their companies — are choosing sides, Defense News reports.",Asia Times,Asia Times,New aircraft,Military
"Avionics for U.S. Army Future Vertical Lift Major Opportunity, Collins Aerospace Says",Securing contracts to build avionics systems for the U.S. Army Future Vertical Lift (FVL) program is a top priority for Collins Aerospace.,Aviation Today,Aviation Today,Gov. Contract.,Military
Airbus sees no major 2019 impact from possible US tariffs,"Possible U.S. tariffs against Airbus (AIR.PA) aircraft and European parts are unlikely to have a major impact on the European planemaker's 2019 results, but disruption cannot be ruled out, its chief executive said.",Reuters UK,Reuters UK,Regulation,Generic
"Digital transformation in aviation: Big data, IoT, AI & mobility","The aviation industry has been on the front line of digital transformation ever since the digital revolution began almost a quarter of a century ago. Increasingly, companies around the world have come to the realization that the key to unleash the full potential of the aviation market is not only by embracing digital transformation but also, staying at the forefront of this evolution by offering breakthrough solutions based on new forms of digital technology.",AeroTime News Hub,AeroTime News Hub,New technology,Generic
Hub that can give MRO data extra bite,"Control of the ‘big data’ generated by modern airliners is increasingly a sensitive issue in the maintenance, repair and overhaul (MRO) industry. Is how the data is used ultimately more important that who owns it? Chuck Grieve investigates.",Arabian Aerospace,Arabian Aerospace,New technology,Generic
Comair Suffers From SAA Technical Mismanagement,"Expensive, short-term leased aircraft to replace the grounded Boeing 737 MAX resulted in further issues.",MRO Network,MRO Network,Financial,Comercial
PT DI accelerates N-219 aircraft toward commercial production in 2020,PT DI accelerates N-219 aircraft toward commercial production in 2020.Aerospace expertise: The Aircraft N250 Gatotkaca prototype is parked inside the fix wing.The aircraft was produced under the supervision and based on the design ofÂ,Jakarta Post,Jakarta Post,New aircraft,Comercial
This New Chinese-Russian Passenger Jet Can Carry Up To 440 Passengers,"The new Chinese-Russian CR929 is capable of flying as many as 440 passengers to a range of around 12,000km, or at least it will be, if it ever gets built",Simple Flying,Simple Flying,New aircraft,Comercial
FBO Profile: Air Service Hawaii,"TAir Service Hawaii traces its roots back to 1948 when its antecedent began as a crop-dusting service that also performed occasional piston aircraft maintenance at Honolulu (now Daniel K. Inouye International) Airport. Along the way, it offered flight training, air charter, Cessna aircraft sales, and finally FBO services, until 1967, when it incorporated under the Air Service Hawaii name.",Aviation International News,Aviation International News,Competitor Profile,Executive
IADA Website Sales Top $1.6 Billion,"AAn aircraft sales website created by the International Aircraft Dealers Association (IADA) has seen more than $1.6 billion in sales of more than 235 pre-owned aircraft in its first seven months of operation, the group announced. “The sales of previously owned aircraft have actually exceeded our expectations for a startup website and the momentum is building,"" IADA executive director Wayne Starling said.",Aviation International News,Aviation International News,Aircraft sales,Executive
